Yeast Gene,Arabidopsis thaliana,Neocallimastix frontalis,Glomus intraradices,Schizosaccharomyces pombe,Saccharomyces cerevisiae,Yarrowia lipolytica,Neurospora crassa,Ustilago maydis,Candida albicans,Schistosoma mansoni,Caenorhabditis elegans,Aedes aegypti,Drosophila melanogaster,Strongylocentrotus purpuratus,Ciona intestinalis,Danio rerio,Xenopus laevis,Gallus gallus,Macaca mulatta,Pan troglodytes,Homo sapiens,Canis lupus familiaris,Oryctolagus cuniculus,Mus musculus,Rattus norvegicus,
P49631,,,,"O94686;Q9HGL8","P49631","Q6C3I3","Q7S1Z1",,,,,,,,,,,,,,,,,,,
P25655,,,,,"P25655",,,,"Q59R01",,,,,,,,,,,,,,,,,
P24867,"P42751",,,,"P24867",,,,"Q59QS5;Q59QU7",,,,,,,,,,,,,,,"Q8VDC7",,
P40155,,,,,"P40155",,,,,,,,,,,,,,,,,,,,,
Q12317,,,,,,,,,,,,,,,,,,,,,,,,,,
P38768,,,,,"P38768",,,,"Q5ACJ6",,,,,,,,,,,,,,,,,
P18851,,,,"Q10282","P18851","Q6C7F0",,,"Q5AHJ7;Q5AHX2",,,,,,,,,,,,,,,,,
P53296,,,,,,,,,,,,,,,,,,,,,,,,,,
P53769,,,,,"P53769",,,,,,,,"Q9VSB2",,,,,,,,,,,,,
Q03361,,,,,"Q03361",,,,,,,,,,,,,,,,,,,,,
P40439,,,,,"Q76CZ0;P40884;P40439;P38158;P07265;P53341;P53051;Q08295",,,,,,,,,,,,,,,,,,,,,
P36093,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12289,"Q93XM7",,,,"Q12289","Q6CDA3","Q7S952","Q4P1Z4","O94071;Q5A967",,"Q27257",,,,,,,,,,,,,,,
P38994,,,,"O13853","P38994","Q6C0L8","Q7S575","Q4P7V4","Q59L34;Q59L26",,,,,,,,,,,,,,,,,
Q92328,,,,,"Q92328",,,,,,,,,,,,,,,,,,,,,
P41807,,,,"O14265","P41807","Q6C6K9","Q7SGA4","Q4P310",,,,,,,,,,,,,,,,,,
Q03012,,,,"O74508","Q03012",,,,"Q5AI35",,,,,,,"Q7SZX6",,,,,,,,,,
Q08562,,,,,"Q08562",,,,,,,,,,,,,,,,,,,,,
P35208,,,,,"P35208",,,,,,,,,,,,,,,,,,,,,
P53866,,,,,"P53866",,,,"Q59UG4",,,,,,,,,,,,,,,,,
P08964,,,,"O14157;Q9USI6","P08964","Q6C1U3","Q7SF97","Q4P9C7",,,,,,,,,,,,,,,,,,
Q12208,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12385,,,,"O14249","Q12385;Q04623",,"Q7SA99",,,,,,,,,,,,,,,,,,,
P52910,,,,,"P52910","Q6C2Q5",,,"Q59VM9",,,,,,,,,,,,,,,,,
P53971,,,,,"P53971",,,,,,,,,,,,,,,,,,,,,
P34225,,,,"O13690","P34225","Q6C0R9","Q7S408",,"Q59R15",,,,,,,,,,,,,,,,,
P27616,,,,"Q9UUB4","P27616","Q6C3Q2","Q8NK78","Q4P587","Q5AAK5;P43060",,,,,,,,,,,,,,,,,
Q05164,,,,,,,,,,,,,,,,,,,,,,,,,,
P12611,,,,,"P12611",,,,"Q5AFN2",,,,,,,,,,,,,,,,,
P53731,,,,"O14241","P53731","Q6CHZ7","Q7SD21","Q4PAM6","Q5AA47",,,"Q17JV8","Q9VIM5",,,"Q6P2T5","Q6IRB1;Q0IH88",,,,"Q53R19",,,"Q3UA52;Q4FZG5",,
P01097,,,,,"P01097;P01098","Q6CCY1",,,,,,,,,,,,,,,,,,,,
P03882,"Q93ZT4;Q9XIL5;Q0WM50",,,,"Q35799;Q36760;P03882",,,,,,,,,,,,,,,,,,,,,
Q12359,,,,,"Q12359",,,,,,,,,,,,,,,,,,,,,
P47068,,,,,"P47068",,"Q7S8D4",,,,,,,,,,,,,,,,,,,
Q00776,,,,"Q9HFE5","Q00776","Q6CEZ3","Q872K3;Q7RVT3",,"Q5AJY4",,,,,,,,,,,,,,,,,
P06197,,,,,"P06197","Q6C104",,,"Q59RA2",,,,,,,,,,,,,,,,,
O13563,,,,,"O13563",,,,"Q59VN5",,,,,,,,,,,,,,,,,
P47137,,,,"Q9C1X5;O14088","P47137",,"Q9P734",,,,,,,,,,,,,,,,,,,
P50278,,,,,"P50278",,,,,,,,,,,,,,,,,,,,,
P38341,,,,,,,,,,,,,,,,,,,,,,,,,,
Q00618,,,,"O94412","Q00618","Q6C601","Q96U26","Q4P3U2","O93829",,,,,,,,,,,,,,,,,
P32900,,,,,"P32900",,,,,,,,,,,,,,,,,,,,,
P47977,,,,,"P47977;P47976",,,,,,,,,,,,,,,,,,,,,
P17065,,,,,"P17065",,,,,,,,,,,,,,,,,,,,,
P32338,,,,,"P32338",,,,,,,,"P23792",,,,,,,,,,,,,
P39952,,,,,"P39952",,"Q7RVX1;Q8X0G9;Q8X216",,"Q5AGX4",,,,"Q9Y171",,,,,,,,"Q2M1J6;Q15070",,,"Q3TC56;Q3U3X8;Q3UTE7;Q8BGA9",,
P42940,"Q9LSW8",,,"Q9UTH2","P42940","Q6CBA9","Q7S8Q8","Q4PH94","Q59NK2",,"Q9TXI4","Q17B68","Q0KHZ6;Q8MR58",,,"Q7ZV76","Q6PBB7",,,,"P38117",,,"Q9DCW4","Q68FU3",
P18409,,,,,"P18409",,"Q7SBE0",,"Q59LM9;Q59LL4",,,,,,,,,,,,,,,,,
Q12119,,,,,,,,,,,,,,,,,,,,,,,,,,
Q07887,,,,,,,,,,,,,,,,,,,,,,,,,,
P39543,,,,,"P39543",,,,,,,,,,,,,,,,,,,,,
Q8TGM6,,,,,,,,,,,,,,,,,,,,,,,,,,
P53260,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12496,,,,"Q10068","Q12496","Q6C8Z2","Q6MW30","Q4P7B5","Q59R27",,"P48053","Q16XJ0",,,,,,,,,,,,,,
Q02969,,,,,,,,,,,,,,,,,,,,,,,,,,
P38216,,,,,,,,,,,,,,,,,,,,,,,,,,
P53210,"Q9ZPY1",,,"O94322","P53210","Q6CFS1",,,"Q5A5E6",,,,,,,,,,,,,,,,,
P53854,,,,,,,,,,,,,,,,,,,,,,,,,,
P42223,,,,,,,,,,,,,,,,,,,,,,,,,,
P40480,,,,,"P40480",,,,,,"Q23595;Q22015;Q17343",,,,,,,,,,,,,,,
Q02629,,,,,"Q02629",,,,,,,,,,,,,,,,,,,,,
P03881,,,,,"P03881",,,,,,,,,,,,,,,,,,,,,
P40003,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12395,,,,"Q8WZK4","Q12395","Q6C0B6",,"Q4PF67","Q5ADL9",,,,,,,,,,,,,,,,,
Q3E842,,,,,,,,,,,,,,,,,,,,,,,,,,
P32350,,,,"Q10156","P32350","Q6CD14",,"Q4P5S0","Q5AL00",,,,,,,,,,,,,,,,,
P40545,"O82782;Q5TKS8",,,"Q10184","P40545","Q6C2U0","Q7RXQ8",,"Q5A461;Q9HFV5",,,,,,,,,,,,,,,,,
P34243,"Q9FNX9;O81047",,,"O94247","P34243","Q6CFH6","Q7S1L9","Q4PFJ1","Q5AAW1",,,,,,"Q1RLC0",,,,,,"A0PJD2;P38935",,,"P40694","Q9EQN5",
P32529,"Q9LNT2;Q9LU97",,,"O94703","P32529","Q6CHJ6","Q7S892","Q4P4T4",,,"O17587","Q16SW6;Q16SW7","Q9VD81",,,"Q5BL98",,,"Q5TM50",,"Q9P1U0",,,"Q791N7","Q6MFY5",
P40534,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12145,,,,,"Q12145",,,,,,,,"Q0IGS1",,,,,,,,"Q9UL36",,,,,
P13902,,,,,,,,,,,,,,,,,,,,,,,,,,
P53978,,,,,,,,,,,,,,,,,,,,,,,,,,
P39106,,,,,"P39106",,,,"Q5APQ8;Q5AP62;Q5AGN6;Q5AGA9;Q5AGA0",,,,,,,,,,,,,,,,,
P23201,,,,,,,,,,,,,,,,,,,,,,,,,,
Q07653,,,,,,,,,,,,,,,,,,,,,,,,,,
P36148,,,,,"P36148",,,,,,,,,,,,,,,,,,,,,
Q05871,,,,,"Q08558;Q05871",,,,,,,,,,,,,,,,,,,,,
P53243,,,,,,,,,,,,,,,,,,,,,,,,,,
P38710,,,,,"P38710;Q05533",,"Q7S9V8",,,,,,,,,,,,,,,,,,,
P35719,,,,,"P35719","Q6C9H1",,,"Q5A646",,,,,,,,,,,,,,,,,
Q06683,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12136,,,,,,,,,,,,,,,,,,,,,,,,,,
P32388,,,,,"P32388",,,,"Q5AH35",,,,,,,,,,,,,,,,,
P16639,,,,,"P16639",,,,"Q5ACV7",,,,,,,,,,,,,,,,,
P53185,,,,,"P53185",,,,,,,,,,,,,,,,,,,,,
P40011,,,,,"P40011","Q6C0S1","Q7SHG3",,"Q5AP69",,,,,,,,,,,,,,,,,
P47988,,,,"O13658","P43634;P47988",,"Q7SCY2",,,,,,,,,,,,,,,,,,,
P43607,,,,,,,,,,,,,,,,,,,,,,,,,,
Q02606,,,,,,,,,,,,,,,,,,,,,,,,,,
P32463,,,,,"P32463",,,,"Q5AHH7",,,,,,,,,,,,,,,,,
P53167,"Q9SGS1",,,"O94295","P53167",,,,"Q59S63",,,,"Q9VDK6",,,"Q5PR50",,,,,,,,,,
Q08182,,,,,"Q08182;P40574",,,,,,,,,,,,,,,,,,,,,
P38114,,,,,"Q12180;P89504;P38114",,"Q870R0",,,,,,,,,,,,,,,,,,,
P38703,,,,,"P38703",,,,,,,,,,,,,,,,,,,,,
P31688,,,,"P78875;O14145","P31688","Q6C939","Q7RX47",,"Q5AI14",,,,,,,,,,,,,,,,,
Q04487,,,,"O74882","Q04487;P33421","Q6C450",,"Q4P7B4",,,"P41956","Q1HRJ9","Q8MYW1;Q9VGS3",,,"Q6DBZ2",,,,,"Q3C2H4;Q6IAQ2",,,"Q9CZB0;Q5XK33","Q641Z9",
Q3E818,,,,,,,,,,,,,,,,,,,,,,,,,,
