E. coli K12 gene,"Pseudomonas aeruginosa","Pseudomonas fluorescens","Salmonella typhimurium","Yersinia pestis","Vibrio cholerae","Vibrio fischeri ES114","Vibrio fischeri MJ11","Haemophilus influenzae","Rickettsia prowazekii","Helicobacter pylori","Staphylococcus aureus","Bacillus subtilis","Bacillus anthracis","Streptococcus pneumoniae","Deinococcus radiodurans","Chlamydia trachomatis","Chlamydophila pneumoniae","Aquifex aeolicus","Thermotoga maritima","Mycobacterium tuberculosis","Nocardia farcinica","Streptomyces coelicolor","Borrelia burgdorferi","Treponema pallidum","Mycoplasma genitalium","Mycoplasma pneumoniae","Sulfolobus solfataricus","Aeropyrum pernix","Halobacterium salinarum","Pyrococcus furiosus"""
3MG1_ECOLI,,,"Q8ZLA4","Q74PD3;Q8CZG8",,,,,,,,,,,,,,,,,,,,,,,,,,
3MG2_ECOLI,"Q9I339",,"Q8ZNQ5",,"Q9KKT2",,,,,,,,,,,,,,,"Q10630","Q5YQ99","Q9ZBF2",,,,,,,,
6PGD_ECOLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6PGL_ECOLI,,,"Q8ZQR4",,,,,,,,,,,,,,,,,,,,,,,,,,,
AAEA_ECOLI,"Q9I152",,,"Q8ZAU9",,,,,,,,,,,,,,,,,,,,,,,,,,
AAS_ECOLI,,,"Q8ZMA4",,,,,,,,,,,,,,,,,,,,,,,,,,,
AAT_ECOLI,,,"P58661","16121690;Q8D050","Q9KSG3","Q5E4R3",,"P44425",,,,,,,,,,,,,,,,,,,,,,
ABDH_ECOLI,"Q9APW7",,"Q8ZPC9",,,,,,,,,,,,,,,,,,,,,,,,,,,
ABRB_ECOLI,,,"Q8ZQU5",,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCC_ECOLI,"P37798",,"Q7CPM0","16123801;Q7CL62","Q9KV62","Q5E264",,"P43873",,"O25134",,,,,,,,,,,,,,,,,,,,
ACEK_ECOLI,"Q9I3W8",,"P51067",,,,,,,,,,,,,,,,,,,,,,,,,,,
ACFD_ECOLI,,,,,,"Q5E705",,,,,,,,,,,,,,,,,,,,,,,,
ACON1_ECOLI,"Q9I3F5",,"Q8ZP52","16122450;Q7CIL5",,,,,"Q9ZCF4",,,,,,"Q9RTN7",,,,,,,,,,,,"Q97Z42",,,"Q8U489"""
ACON2_ECOLI,"Q9I2V5",,"Q8ZRS8","16123564","Q9KUB8","Q5E2U3",,,,"P56418",,,,,,,,,,,,,,,,,,,,
ACPH_ECOLI,,,,"Q8ZC31","Q9KLH5",,,,,,,,,,,,,,,,,,,,,,,,,
ACPS_ECOLI,,,"P63466","Q8ZCP5","Q9KPB6","Q5E318",,,"Q9ZCX5","O25488",,"P96618","Q81JG3","P0A2W6",,,,,"Q9WZF6",,,,,,"Q9ZB79","P75480",,,,
ACPT_ECOLI,,,"Q8ZLE2",,,,,,,,,,,,,,,,,,,,,,,,,,,
ACP_ECOLI,"O54439",,,,"Q9KQH8",,,"P43709",,,,,,,,,,,,,,,,,,,,,,
ACRA_ECOLI,,,"Q8ZRA6","Q7CK15",,,,,,,,,,,,,,,,,,,,,,,,,,
